scenario,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,8.175E-02,7.4E-02,7.525E-02,8.15E-02,8.5E-02,8.5E-02,8.475E-02,7.675E-02,7.075E-02,9.15E-02,9.325E-02,9.175E-02,9.8E-02,10.275E-02,9.6E-02,9.3E-02,8.9E-02,8.5E-02,8.1E-02,7.7E-02,7.3E-02,6.9E-02,6.5E-02,6.1E-02,5.7E-02,5.3E-02,4.9E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02,4.5E-02
1,8.175E-02,7.4E-02,7.525E-02,8.15E-02,8.5E-02,8.5E-02,8.475E-02,7.675E-02,7.075E-02,9.15E-02,9.325E-02,9.175E-02,9.8E-02,10.275E-02,9.6E-02,9.3E-02,8.9E-02,8.5E-02,8.3E-02,8.1E-02,7.8E-02,7.6E-02,7.4E-02,7.2E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02,7.0E-02
